lat,lng,pop,uap,uap_c,nuc,mag,coastal,uso,layers,nat_rad_dist_km,anc,mag_gradient,uap_corrected,uso_corrected,has_incident_binary,is_high_mag,is_high_nuc
-84.5,-148.5,8.445801440278477e-14,0.0,8.44580144027848e-13,0.0,0.0,0.0002875353984854,0.0,0,4766.562740630334,0.0,0.0,0.0,0.0,0,0,0
-84.5,-147.5,1.0837208250509062e-13,0.0,1.0837208250509062e-12,0.0,0.0,0.0002922485794029,0.0,0,4756.0256355764695,0.0,0.0,0.0,0.0,0,0,0
-84.5,-146.5,1.3945413941659408e-13,0.0,1.3945413941659402e-12,0.0,0.0,0.0002968861795416,0.0,0,4745.51837506,0.0,0.0,0.0,0.0,0,0,0
-84.5,-145.5,1.801755723181603e-13,0.0,1.8017557231816041e-12,0.0,0.0,0.0003014412853458,0.0,0,4735.044299936209,0.0,0.0,0.0,0.0,0,0,0
-84.5,-144.5,2.340120989469015e-13,0.0,2.340120989469015e-12,0.0,0.0,0.0003059069861872,0.0,0,4724.606759164979,0.0,0.0,0.0,0.0,0,0,0
-84.5,-143.5,3.058947676749177e-13,0.0,3.058947676749177e-12,0.0,0.0,0.0003102763925884,0.0,0,4714.209108791844,0.0,0.0,0.0,0.0,0,0,0
-84.5,-142.5,4.02867162333448e-13,0.0,4.02867162333448e-12,0.0,0.0,0.0003145426548415,0.0,0,4703.854710901369,0.0,0.0,0.0,0.0,0,0,0
-84.5,-141.5,5.350400961136799e-13,0.0,5.350400961136799e-12,0.0,0.0,0.0003186989819506,0.0,0,4693.546932542551,0.0,0.0,0.0,0.0,0,0,0
-84.5,-140.5,7.16973275665174e-13,0.0,7.1697327566517385e-12,0.0,0.0,0.0003227386608236,0.0,0,4683.289144625996,0.0,0.0,0.0,0.0,0,0,0
-84.5,-139.5,9.696665186214635e-13,0.0,9.696665186214636e-12,0.0,0.0,0.0003266550756336,0.0,0,4673.084720792681,0.0,0.0,0.0,0.0,0,0,0
-84.5,-138.5,1.3234164686835398e-12,0.0,1.3234164686835396e-11,0.0,0.0,0.0003304417272676,0.0,0,4662.9370362541,0.0,0.0,0.0,0.0,0,0,0
-84.5,-137.5,1.8218954606439028e-12,0.0,1.8218954606439023e-11,0.0,0.0,0.0003340922527788,0.0,0,4652.849466603714,0.0,0.0,0.0,0.0,0,0,0
-84.5,-136.5,2.527946556428825e-12,0.0,2.527946556428824e-11,0.0,0.0,0.0003376004447548,0.0,0,4642.8253865995885,0.0,0.0,0.0,0.0,0,0,0
-84.5,-135.5,3.531774940297544e-12,0.0,3.531774940297544e-11,0.0,0.0,0.0003409602705134,0.0,0,4632.86816891824,0.0,0.0,0.0,0.0,0,0,0
-84.5,-134.5,4.962466515811413e-12,0.0,4.962466515811413e-11,0.0,0.0,0.0003441658910359,0.0,0,4622.981182879687,0.0,0.0,0.0,0.0,0,0,0
-84.5,-133.5,7.00409979491514e-12,0.0,7.004099794915139e-11,0.0,0.0,0.0003472116795486,0.0,0,4613.167793143814,0.0,0.0,0.0,0.0,0,0,0
-84.5,-132.5,9.918162547715292e-12,0.0,9.918162547715292e-11,0.0,0.0,0.0003500922396613,0.0,0,4603.431358378211,0.0,0.0,0.0,0.0,0,0,0
-84.5,-131.5,1.4074572325654524e-11,0.0,1.4074572325654526e-10,0.0,0.0,0.0003528024229734,0.0,0,4593.775229897664,0.0,0.0,0.0,0.0,0,0,0
-84.5,-130.5,1.9994369926046628e-11,0.0,1.9994369926046628e-10,0.0,0.0,0.00035533734606,0.0,0,4584.202750275612,0.0,0.0,0.0,0.0,0,0,0
-84.5,-129.5,2.840815652324664e-11,0.0,2.8408156523246635e-10,0.0,0.0,0.000357692406751,0.0,0,4574.717251927905,0.0,0.0,0.0,0.0,0,0,0
